car_model,price,year_model,kms
Chevrolet Spark 1.2 Gt Ltz,$41.000.000,2019,38.700
Chevrolet Spark 1.2 Gt M300 Ltz,$33.000.000,2016,87.000
Chevrolet Spark GT 1.2 Ltz,$35.900.000,2018,34.000
Chevrolet Spark Gt Ltz,$28.500.000,2013,128.000
Chevrolet Spark Gt Gt 1200,$27.000.000,2012,124.000
Chevrolet Spark 1.0 Lt M200,$21.000.000,2010,645.000
Chevrolet Spark Gt 1200,$30.500.000,2016,102.559
Chevrolet Spark 1.0 Lt M200,$22.000.000,2010,107.000
Chevrolet Spark 1000 Cc,$22.000.000,2012,77.500
Chevrolet Spark 1.0 Go,$15.000.000,2010,151.101
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2008,174
Chevrolet Spark Gt Gt,$30.000.000,2011,103.000
Chevrolet Spark GT 1.2 Ltz,$37.000.000,2018,76.000
Chevrolet Spark Gt Gt,$27.000.000,2013,87.000
Chevrolet Spark GT 1.2 Ltz,$36.000.000,2019,124.600
Chevrolet Spark GT 1.2 Ls,$40.000.000,2020,21.900
Chevrolet Spark 1.0 Life,$26.000.000,2017,64.000
Chevrolet Spark,$33.000.000,2011,150.000
Chevrolet Spark GT 1.2 Ltz,$38.900.000,2018,44.000
Chevrolet Spark 1.0 Lt M200,$20.000.000,2012,166.000
Chevrolet Spark 1.0 Lt M200,$20.300.000,2012,129.950
Chevrolet Spark GT 1.2 Ltz,$37.500.000,2019,58.000
Spark Gt Excelente Estado ,$33.000.000,2014,56.300
Chevrolet Spark 1.0 Lt M200,$17.400.000,2007,125.000
Chevrolet Spark Gt Gt,$32.000.000,2014,92.265
Chevrolet Spark GT 1.2,$37.406.000,2018,124.000
Chevrolet Spark Gt Full Equipo,$35.000.000,2017,132.000
Chevrolet Spark 1.2 Gt Lt,$33.000.000,2018,79.000
Chevrolet Spark 1.0 7:24 Cronos,$17.500.000,2009,155.000
Chevrolet Spark Gt Rs,$34.000.000,2016,127.000
Chevrolet Spark Spark Normal ,$24.000.000,2013,56.000
Chevrolet Spark GT 1.2 Ltz,$30.000.000,2018,70.000
Chevrolet Spark 1.0 Ls,$16.200.000,2005,157.000
Chevrolet Spark 1.0 Lt M200,$18.990.000,2008,166.100
Chevrolet Spark Gt Spark Gt Lt Mt,$30.000.000,2014,93.847
Chevrolet Spark 1.0 7:24 Cronos,$20.500.000,2012,82.000
Chevrolet Spark 1.0 Life,$30.000.000,2019,50.000
Chevrolet Spark 1.0 Lt M200,$23.000.000,2014,70.000
Chevrolet Spark 1.0 Go,$18.200.000,2010,127.500
Vendo Chevrolet Spark Gt 2015 Full Equipo,$33.000.000,2015,110.000
Chevrolet Spark Gt Full,$32.000.000,2016,120.000
Chevrolet Spark GT 1.2 Ls,$38.900.000,2020,46.000
Chevrolet Spark 1.0 7:24 Cronos,$16.500.000,2009,756.397
Chevrolet Spark 1.0 Life,$26.200.000,2018,72.500
Chevrolet Spark 1.0 Lt M200,$21.000.000,2014,97.000
Chevrolet Spark 1.0 Lt M200,$21.900.000,2012,135.000
Chevrolet Spark 1.0 Lt M200,$21.500.000,2011,162.489
Chevrolet Spark GT 1.2 Lt,$35.000.000,2019,61.000
Chevrolet Spark 1.2 Gt Lt,$34.000.000,2019,61.000
Chevrolet Spark Gt Spark Gt,$30.500.000,2013,126.700
